time,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,null,null,waist_yaw_joint,null,head_yaw_joint,head_pitch_joint,left_thumb_mcp_roll_joint,left_thumb_mcp_pitch_joint,left_index_mcp_joint,left_middle_mcp_joint,left_ring_mcp_joint,left_pinky_mcp_joint,right_thumb_mcp_roll_joint,right_thumb_mcp_pitch_joint,right_index_mcp_joint,right_middle_mcp_joint,right_ring_mcp_joint,right_pinky_mcp_joint
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736331,0.306510,-1.864843,0.258800,0.155726,0.990000,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.700000,0.600000,0.550000,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736332,0.306510,-1.864843,0.258800,0.155726,0.990001,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.699987,0.599992,0.550005,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736334,0.306510,-1.864843,0.258800,0.155726,0.990003,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.699960,0.599976,0.550016,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736337,0.306510,-1.864843,0.258800,0.155726,0.990005,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.699920,0.599952,0.550032,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736342,0.306510,-1.864843,0.258800,0.155726,0.990009,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.699866,0.599920,0.550053,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736347,0.306510,-1.864843,0.258800,0.155726,0.990014,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.699799,0.599880,0.550080,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736354,0.306510,-1.864843,0.258800,0.155726,0.990019,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.699719,0.599832,0.550112,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736361,0.306510,-1.864843,0.258800,0.155726,0.990025,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.699626,0.599775,0.550150,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736370,0.306509,-1.864844,0.258800,0.155727,0.990032,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.699519,0.599711,0.550193,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736380,0.306509,-1.864844,0.258799,0.155727,0.990041,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.699398,0.599639,0.550241,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736390,0.306509,-1.864844,0.258799,0.155727,0.990050,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.699265,0.599559,0.550294,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736402,0.306509,-1.864844,0.258799,0.155727,0.990060,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.699118,0.599471,0.550353,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736415,0.306509,-1.864844,0.258799,0.155727,0.990070,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.698957,0.599374,0.550417,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736429,0.306509,-1.864844,0.258799,0.155728,0.990082,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.698783,0.599270,0.550487,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736444,0.306508,-1.864845,0.258799,0.155728,0.990095,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.698596,0.599158,0.550561,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736460,0.306508,-1.864845,0.258798,0.155728,0.990108,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.698396,0.599037,0.550642,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736478,0.306508,-1.864845,0.258798,0.155728,0.990123,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.698182,0.598909,0.550727,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736496,0.306508,-1.864845,0.258798,0.155729,0.990138,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.697955,0.598773,0.550818,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736516,0.306508,-1.864846,0.258798,0.155729,0.990154,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.697714,0.598628,0.550914,0.300000
0.010000,0.165261,0.327878,0.441613,-1.109820,1.255600,-0.056649,-1.507673,-0.148965,-0.736536,0.306507,-1.864846,0.258798,0.155729,0.990171,0.000000,0.000000,0.085640,0.000000,-0.261800,0.003242,1.500000,0.200000,0.600000,0.600000,0.600000,0.550000,0.000000,0.200000,0.697460,0.598476,0.551016,0.300000
