0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.736331,0.30651,-1.864843,0.2588,0.155726,0.99,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.7,0.6,0.55,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.736332,0.30651,-1.864843,0.2588,0.155726,0.990001,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.699987,0.599992,0.550005,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.736334,0.30651,-1.864843,0.2588,0.155726,0.990003,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.69996,0.599976,0.550016,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.736337,0.30651,-1.864843,0.2588,0.155726,0.990005,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.69992,0.599952,0.550032,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.736342,0.30651,-1.864843,0.2588,0.155726,0.990009,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.699866,0.59992,0.550053,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.736347,0.30651,-1.864843,0.2588,0.155726,0.990014,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.699799,0.59988,0.55008,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.736354,0.30651,-1.864843,0.2588,0.155726,0.990019,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.699719,0.599832,0.550112,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.736361,0.30651,-1.864843,0.2588,0.155726,0.990025,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.699626,0.599775,0.55015,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.73637,0.306509,-1.864844,0.2588,0.155727,0.990032,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.699519,0.599711,0.550193,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.73638,0.306509,-1.864844,0.258799,0.155727,0.990041,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.699398,0.599639,0.550241,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.73639,0.306509,-1.864844,0.258799,0.155727,0.99005,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.699265,0.599559,0.550294,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.736402,0.306509,-1.864844,0.258799,0.155727,0.99006,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.699118,0.599471,0.550353,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.736415,0.306509,-1.864844,0.258799,0.155727,0.99007,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.698957,0.599374,0.550417,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.736429,0.306509,-1.864844,0.258799,0.155728,0.990082,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.698783,0.59927,0.550487,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.736444,0.306508,-1.864845,0.258799,0.155728,0.990095,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.698596,0.599158,0.550561,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.73646,0.306508,-1.864845,0.258798,0.155728,0.990108,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.698396,0.599037,0.550642,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.736478,0.306508,-1.864845,0.258798,0.155728,0.990123,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.698182,0.598909,0.550727,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.736496,0.306508,-1.864845,0.258798,0.155729,0.990138,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.697955,0.598773,0.550818,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.736516,0.306508,-1.864846,0.258798,0.155729,0.990154,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.697714,0.598628,0.550914,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.736536,0.306507,-1.864846,0.258798,0.155729,0.990171,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.69746,0.598476,0.551016,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.736558,0.306507,-1.864846,0.258797,0.15573,0.990189,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.697193,0.598316,0.551123,0.3,
0.01,0.170809,0.327012,0.443794,-1.108286,1.257117,-0.057746,-1.514321,-0.148965,-0.73658,0.306507,-1.864846,0.258797,0.15573,0.990208,0.0,0.0,0.08564,0.0,-0.2618,0.003242,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.696912,0.598147,0.551235,0.3,
