Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
0,-5.8e-05,0.8813,-6.6e-05,0,-0,0,0,0,0,0,0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0,-0.139338,0,0,0.270793,-0.131446,0,0.31992775,0.52449697,0.61776061,-0.96652293,-0.70026182,-0.52860879,0.43203866,0.405121,-0.393973,-0.60113,-1.189764,0.731884,-0.413661,-0.431265,0,0.349008,0.224157,0.237442,0.224782,0.23621,0.224791,0.237433,0.224191,0.238917,-0,0.349008,0.224175,0.234246,0.22479,0.233742,0.224769,0.234307,0.224162,0.234904,0,0.254724,0
0,-5.8e-05,0.8813,-6.6e-05,0,-0,0,0,0,0,0,0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0,-0.139338,0,0,0.270793,-0.131446,0,0.31992003,0.52388674,0.61956262,-0.975935,-0.7081934,-0.52995187,0.43235686,0.40456,-0.392978,-0.602281,-1.198931,0.740847,-0.414971,-0.430765,-0,0.349008,0.223654,0.236892,0.224278,0.235671,0.224284,0.236903,0.223692,0.238364,0,0.349008,0.223675,0.233693,0.224277,0.233201,0.224264,0.23376,0.22365,0.234369,0,0.25888,0
0,-5.8e-05,0.8813,-6.6e-05,0,-0,0,0,0,0,0,0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0,-0.139338,0,0,0.270793,-0.131446,0,0.31965502,0.52331552,0.62117952,-0.98530462,-0.71613075,-0.53112109,0.43239198,0.403781,-0.392044,-0.603239,-1.208098,0.749833,-0.416094,-0.430015,0,0.349008,0.22315,0.236341,0.223773,0.235132,0.223778,0.236374,0.223194,0.237811,-0,0.349008,0.223159,0.233148,0.223763,0.232659,0.223758,0.233212,0.223138,0.233821,0,0.263036,0
0,-5.8e-05,0.8813,-6.6e-05,0,-0,0,0,0,0,0,0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0,-0.139338,0,0,0.270793,-0.131446,0,0.31939188,0.52259108,0.62269891,-0.99464312,-0.7240029,-0.53228795,0.43240084,0.403002,-0.390986,-0.60407,-1.217234,0.75882,-0.417217,-0.429266,-0,0.349008,0.222646,0.235791,0.223269,0.234594,0.223271,0.235844,0.222695,0.237258,-0,0.349008,0.222643,0.232602,0.22325,0.232116,0.223252,0.232665,0.222626,0.233272,0,0.267192,0
0,-5.8e-05,0.8813,-6.6e-05,0,-0,0,0,0,0,0,0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0,-0.139338,0,0,0.270793,-0.131446,0,0.31912198,0.52184692,0.62397954,-1.0039457,-0.73189032,-0.53346966,0.4324097,0.402193,-0.389929,-0.604902,-1.226325,0.767706,-0.418152,-0.428516,0,0.349008,0.222143,0.23524,0.222764,0.234055,0.222764,0.235291,0.22217,0.236705,0,0.349008,0.222127,0.232057,0.222737,0.231573,0.222746,0.232117,0.222113,0.232724,0,0.271347,0
0,-5.8e-05,0.8813,-6.6e-05,0,-0,0,0,0,0,0,0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0,-0.139338,0,0,0.270793,-0.131446,0,0.31853235,0.5209967,0.62502967,-1.0131427,-0.73976466,-0.53428893,0.43197264,0.401071,-0.388809,-0.605221,-1.235295,0.776593,-0.418964,-0.427392,0,0.349008,0.22162,0.23469,0.222239,0.233516,0.222239,0.234738,0.221645,0.236152,-0,0.349008,0.221612,0.231512,0.222223,0.23103,0.222241,0.23157,0.221601,0.232176,0,0.275271,0
0,-5.8e-05,0.8813,-6.6e-05,0,-0,0,0,0,0,0,0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0,-0.139338,0,0,0.270793,-0.131446,0,0.31788911,0.5197907,0.62583392,-1.0224052,-0.74770823,-0.5351155,0.43148624,0.399826,-0.387503,-0.605669,-1.244294,0.785636,-0.419775,-0.426143,0,0.349008,0.221097,0.234139,0.221713,0.232978,0.221714,0.234185,0.221119,0.235599,0,0.349008,0.221096,0.230966,0.22171,0.230488,0.221735,0.231022,0.221089,0.231627,0,0.279195,0
0,-5.8e-05,0.8813,-6.6e-05,0,-0,0,0,0,0,0,0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0,-0.139338,0,0,0.270793,-0.131446,0,0.31707719,0.51880134,0.62660632,-1.0315329,-0.75569523,-0.53581912,0.43089205,0.398643,-0.386196,-0.605669,-1.253171,0.794439,-0.420274,-0.424956,0,0.349008,0.220574,0.233589,0.221188,0.232439,0.221189,0.233632,0.220594,0.235046,-0,0.349008,0.22058,0.230421,0.221196,0.229945,0.221229,0.230474,0.220577,0.231079,0,0.283118,0
0,-5.8e-05,0.8813,-6.6e-05,0,-0,0,0,0,0,0,0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0,-0.139338,0,0,0.270793,-0.131446,0,0.31627343,0.51745659,0.62719808,-1.0407247,-0.76347479,-0.53634088,0.430211,0.397273,-0.384953,-0.605669,-1.262001,0.803243,-0.420711,-0.423614,-0,0.349008,0.220051,0.233038,0.220662,0.2319,0.220664,0.233079,0.220069,0.234493,-0,0.349008,0.220064,0.229876,0.220683,0.229402,0.220697,0.229927,0.220065,0.230531,0,0.286778,0
0,-5.8e-05,0.8813,-6.6e-05,0,-0,0,0,0,0,0,0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0,-0.139338,0,0,0.270793,-0.131446,0,0.3153009,0.51614443,0.62747837,-1.0498063,-0.77125217,-0.53676163,0.42940903,0.395965,-0.38346,-0.605221,-1.270784,0.811843,-0.420711,-0.422272,0,0.349008,0.219528,0.232488,0.220136,0.231362,0.220138,0.232526,0.219544,0.23394,-0,0.349008,0.219548,0.229331,0.220169,0.22886,0.220164,0.229379,0.219553,0.229983,0,0.290438,0
