time,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,null,null,waist_yaw_joint,null,head_yaw_joint,head_pitch_joint,left_thumb_mcp_roll_joint,left_thumb_mcp_pitch_joint,left_index_mcp_joint,left_middle_mcp_joint,left_ring_mcp_joint,left_pinky_mcp_joint,right_thumb_mcp_roll_joint,right_thumb_mcp_pitch_joint,right_index_mcp_joint,right_middle_mcp_joint,right_ring_mcp_joint,right_pinky_mcp_joint
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106056,-0.829828,0.199311,-1.8675,0.228174,0.176113,0.919832,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.747545,0.598773,0.550409,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106059,-0.829849,0.199306,-1.8675,0.228171,0.176113,0.919837,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.747257,0.598628,0.550457,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106061,-0.829873,0.199302,-1.8675,0.228167,0.176113,0.919841,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.746952,0.598476,0.550508,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106064,-0.829896,0.199297,-1.8675,0.228164,0.176114,0.919846,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.746631,0.598316,0.550561,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106067,-0.829922,0.199293,-1.8675,0.228161,0.176114,0.919851,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.746294,0.598147,0.550618,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.10607,-0.829948,0.199288,-1.8675,0.228157,0.176115,0.919856,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.745941,0.597971,0.550676,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106073,-0.829975,0.199282,-1.8675,0.228154,0.176115,0.919861,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.745572,0.597786,0.550738,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106077,-0.830004,0.199277,-1.8675,0.228149,0.176116,0.919867,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.745187,0.597594,0.550802,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.10608,-0.830035,0.199271,-1.8675,0.228145,0.176116,0.919872,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.744786,0.597393,0.550869,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106083,-0.830066,0.199266,-1.8675,0.228141,0.176117,0.919878,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.744369,0.597184,0.550939,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106087,-0.830098,0.19926,-1.8675,0.228137,0.176118,0.919884,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.743936,0.596968,0.551011,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106091,-0.830131,0.199253,-1.8675,0.228133,0.176118,0.919891,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.743487,0.596743,0.551086,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106095,-0.830166,0.199246,-1.8675,0.228127,0.17612,0.919898,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.743021,0.596511,0.551163,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106099,-0.830202,0.19924,-1.8675,0.228123,0.17612,0.919904,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.74254,0.59627,0.551243,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106103,-0.83024,0.199233,-1.8675,0.228118,0.17612,0.919912,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.742043,0.596021,0.551326,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106108,-0.830278,0.199225,-1.8675,0.228113,0.176122,0.919919,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.741529,0.595765,0.551412,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106112,-0.830318,0.199218,-1.8675,0.228107,0.176122,0.919926,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.741,0.5955,0.5515,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106117,-0.830358,0.199211,-1.8675,0.228102,0.176123,0.919934,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.740455,0.595227,0.551591,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106122,-0.8304,0.199202,-1.8675,0.228096,0.176124,0.919942,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.739893,0.594947,0.551684,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106127,-0.830444,0.199194,-1.8675,0.228091,0.176125,0.91995,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.739316,0.594658,0.551781,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106132,-0.830488,0.199186,-1.8675,0.228084,0.176125,0.919958,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.738722,0.594361,0.55188,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106137,-0.830533,0.199177,-1.8675,0.228078,0.176127,0.919967,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.738112,0.594056,0.551981,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106142,-0.83058,0.199168,-1.8675,0.228072,0.176127,0.919976,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.737487,0.593743,0.552086,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106148,-0.830628,0.19916,-1.8675,0.228065,0.176128,0.919986,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.736845,0.593422,0.552193,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106154,-0.830678,0.199149,-1.8675,0.228058,0.176129,0.919995,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.736187,0.593094,0.552302,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106159,-0.830728,0.19914,-1.8675,0.228052,0.17613,0.920005,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.735513,0.592757,0.552414,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106165,-0.830779,0.199131,-1.8675,0.228044,0.176131,0.920014,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.734824,0.592412,0.552529,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106171,-0.830832,0.19912,-1.8675,0.228038,0.176132,0.920024,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.734118,0.592059,0.552647,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106177,-0.830886,0.19911,-1.8675,0.228031,0.176134,0.920034,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.733396,0.591698,0.552767,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106183,-0.830941,0.199101,-1.8675,0.228023,0.176134,0.920045,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.732658,0.591329,0.55289,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.10619,-0.830998,0.199089,-1.8675,0.228015,0.176135,0.920056,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.731904,0.590952,0.553016,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106196,-0.831055,0.199079,-1.8675,0.228008,0.176137,0.920067,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.731134,0.590567,0.553144,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106203,-0.831114,0.199067,-1.8675,0.227999,0.176137,0.920078,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.730348,0.590174,0.553275,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.10621,-0.831174,0.199056,-1.8675,0.227992,0.176139,0.920089,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.729545,0.589773,0.553409,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106216,-0.831235,0.199045,-1.8675,0.227984,0.17614,0.920102,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.728727,0.589364,0.553545,0.3,
